filenames,20210713-151409,20210713-160536,20210713-202446,20210714-023953,20210714-024731,20210714-025049,20210714-031111,20210714-031825,20210714-095418,20210718-014112,20210718-014612,20210718-015056,20210718-022910,20210718-023252,20210719-020610,20210719-104859,20210719-162019
DSC_0061__3840_2304__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__3840_2560__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__3840_2560__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__3840_2560__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__3840_2560__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__3840_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1
DSC_0061__3840_256__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,2.0,0
DSC_0061__3840_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
DSC_0061__3840_256__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,0.0,0
DSC_0061__3840_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__3840_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1
DSC_0061__3840_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__3840_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0
DSC_0061__3840_768__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0
DSC_0061__3840_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__3840_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__3840_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__4096_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1024__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4096_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1024__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4096_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1280__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1280__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1280__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1280__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1536__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4096_1536__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1536__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1536__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1792__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1792__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1792__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_1792__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_2048__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_2048__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_2048__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_2048__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_2304__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_2304__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4096_2304__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_2304__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4096_2560__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4096_2560__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_2560__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4096_2560__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_256__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4096_256__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4096_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_512__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4096_512__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4096_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_512__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4096_768__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4096_768__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4096_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4096_768__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4352_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_0__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4352_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_0__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4352_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1024__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1024__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4352_1280__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1280__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1280__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1280__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1536__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1536__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1536__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__4352_1536__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1792__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4352_1792__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1792__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_1792__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2048__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2048__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2048__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4352_2048__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2304__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2304__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2304__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2304__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2560__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2560__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2560__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_2560__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4352_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_256__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4352_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_768__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__4352_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__4352_768__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__512_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
DSC_0061__512_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__512_0__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
DSC_0061__512_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__512_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__512_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
DSC_0061__512_1024__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2.0,0
DSC_0061__512_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0
DSC_0061__512_1280__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0
DSC_0061__512_1280__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0
DSC_0061__512_1280__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
DSC_0061__512_1280__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2
DSC_0061__512_1536__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0
DSC_0061__512_1536__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1
DSC_0061__512_1536__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__512_1536__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
DSC_0061__512_1792__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2
DSC_0061__512_1792__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__512_1792__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
DSC_0061__512_1792__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1
DSC_0061__512_2048__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1
DSC_0061__512_2048__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__512_2048__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
DSC_0061__512_2048__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
DSC_0061__512_2304__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__512_2304__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__512_2304__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__512_2304__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__512_2560__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0061__512_2560__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__512_2560__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__512_2560__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__512_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
DSC_0061__512_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0
DSC_0061__512_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__512_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2
DSC_0061__512_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
DSC_0061__512_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
DSC_0061__512_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2
DSC_0061__512_512__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1
DSC_0061__512_768__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__512_768__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1.0,0
DSC_0061__512_768__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2
DSC_0061__512_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0
DSC_0061__768_0__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
DSC_0061__768_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
DSC_0061__768_0__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0
DSC_0061__768_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
DSC_0061__768_1024__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,1.0,0
DSC_0061__768_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
DSC_0061__768_1024__r_270,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,1.0,1
DSC_0061__768_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__768_1280__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
DSC_0061__768_1280__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,0
DSC_0061__768_1280__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,2
DSC_0061__768_1280__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__768_1536__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
DSC_0061__768_1536__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,0.0,0
DSC_0061__768_1536__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
DSC_0061__768_1536__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
DSC_0061__768_1792__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__768_1792__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
DSC_0061__768_1792__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2
DSC_0061__768_1792__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
DSC_0061__768_2048__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2.0,1
DSC_0061__768_2048__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,2
DSC_0061__768_2048__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0
DSC_0061__768_2048__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
DSC_0061__768_2304__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__768_2304__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__768_2304__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__768_2304__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__768_2560__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__768_2560__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0061__768_2560__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__768_2560__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0061__768_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__768_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
DSC_0061__768_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2
DSC_0061__768_256__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,1.0,0
DSC_0061__768_512__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
DSC_0061__768_512__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2.0,0
DSC_0061__768_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0
DSC_0061__768_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0
DSC_0061__768_768__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,1
DSC_0061__768_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0061__768_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
DSC_0061__768_768__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,1
DSC_0062__0_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_0__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,1
DSC_0062__0_0__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2
DSC_0062__0_1024__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.0,0.0,2
DSC_0062__0_1024__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
DSC_0062__0_1024__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
DSC_0062__0_1280__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_1280__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
DSC_0062__0_1280__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0
DSC_0062__0_1280__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
DSC_0062__0_1536__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,0.0,0
DSC_0062__0_1536__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
DSC_0062__0_1536__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1
DSC_0062__0_1536__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_1792__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,0
DSC_0062__0_1792__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_1792__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_1792__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,1
DSC_0062__0_2048__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
DSC_0062__0_2048__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,1.0,2
DSC_0062__0_2048__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
DSC_0062__0_2048__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_2304__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0062__0_2304__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__0_2304__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__0_2304__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__0_2560__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__0_2560__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__0_2560__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__0_2560__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0062__0_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
DSC_0062__0_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2
DSC_0062__0_512__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1
DSC_0062__0_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0
DSC_0062__0_512__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.0,2.0,1
DSC_0062__0_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,2
DSC_0062__0_768__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,2
DSC_0062__0_768__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
DSC_0062__0_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__0_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0
DSC_0062__1024_0__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,2
DSC_0062__1024_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
DSC_0062__1024_0__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0
DSC_0062__1024_0__r_90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0
DSC_0062__1024_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
DSC_0062__1024_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1
DSC_0062__1024_1024__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__1024_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__1024_1280__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0
DSC_0062__1024_1280__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
DSC_0062__1024_1280__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1
DSC_0062__1024_1280__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0
DSC_0062__1024_1536__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0
DSC_0062__1024_1536__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
DSC_0062__1024_1536__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__1024_1536__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
DSC_0062__1024_1792__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__1024_1792__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__1024_1792__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__1024_1792__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0
DSC_0062__1024_2048__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__1024_2048__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0
DSC_0062__1024_2048__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
DSC_0062__1024_2048__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
DSC_0062__1024_2304__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
DSC_0062__1024_2304__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__1024_2304__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__1024_2304__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__1024_2560__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__1024_2560__r_180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
DSC_0062__1024_2560__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__1024_2560__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
DSC_0062__1024_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1
DSC_0062__1024_256__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,1
DSC_0062__1024_256__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0
DSC_0062__1024_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
DSC_0062__1024_512__,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
DSC_0062__1024_512__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1
DSC_0062__1024_512__r_270,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,2.0,0
